"Entry:","Transmembrane","DIBMA 10","DIBMA 12","DIBMA Glycerol","DIBMA Glucosamine","Amphipol 17","Amphipol 18","AASTY 6- 45","AASTY 11- 45","AASTY 6- 50","AASTY 11- 50","AASTY 6- 55","AASTY 11- 55","SMALP 502-E","SMALP 140-I","SMALP 300","SMALP 200","SMALP 140","DDM","DM","LMNG","Fos-12","Digitonin-A","RIPA"
"O42043 (ERVK-18)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43155 (FLRT2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43157 (PLXNB1)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43169 (CYB5B)","1",0.718408,0.721306,0.710054,0.761194,0.780756,0.766644,0.462619,0.605265,0.583357,0.610541,0.636524,0.575116,0.762121,0.606191,0.82122,0.820552,0.162874,0.97733,0.985238,0.964963,0.968091,0.834528,0.913083
"O43173 (ST8SIA3)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43184 (ADAM12)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43286 (B4GALT5)","1",NaN,NaN,NaN,NaN,0.636732,0.32118,0.563187,0.698542,0.697944,0.589128,0.701329,0.667213,0.506028,0.201405,0.757424,0.68023,NaN,0.909246,0.865157,0.596483,0.703352,0.807772,0.889638
"O43291 (SPINT2)","1",0.381353,0.472631,0.548228,0.567712,0.783598,0.647835,0.558279,0.620943,0.766448,0.618761,0.663508,0.610526,0.659127,NaN,0.784378,0.78158,NaN,0.887652,0.938923,0.882101,0.942694,0.689313,0.915881
"O43300 (LRRTM2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43451 (MGAM)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43464 (HTRA2)","1",0.400514,0.433697,0.26692,0.365679,0.358037,0.741499,0.398793,0.334342,0.41972,0.447979,0.705568,0.466664,0.510709,0.408641,0.497238,0.529883,0.172361,0.751334,0.700947,0.683408,0.896385,0.806479,0.72002
"O43493 (TGOLN2)","1",0.608568,0.482494,0.486357,0.571697,0.676714,0.719082,0.312649,0.369681,0.301865,0.262475,0.429324,0.239441,0.541211,0.692684,0.669386,0.630768,NaN,0.800052,0.758893,0.712291,0.602269,0.694785,0.594222
"O43505 (B4GAT1)","1",0.783254,0.739552,0.606108,0.694691,0.829233,0.877699,0.582415,0.702453,0.721407,0.736473,0.748539,0.682808,0.7398,0.539396,0.886645,0.807686,0.000431661,0.953439,0.938743,0.940949,0.896196,0.807165,0.909984
"O43506 (ADAM20)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43508 (TNFSF12)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43529 (CHST10)","1",NaN,NaN,NaN,0.0401581,1.0,0.120427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.122286,NaN,NaN,0.208159,0.125852,0.153767,0.350976,0.0300862,0.315848
"O43556 (SGCE)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43291 (SPINT2)","1",0.381353,0.472631,0.548228,0.567712,0.783598,0.647835,0.558279,0.620943,0.766448,0.618761,0.663508,0.610526,0.659127,NaN,0.784378,0.78158,NaN,0.887652,0.938923,0.882101,0.942694,0.689313,0.915881
"O43300 (LRRTM2)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43451 (MGAM)","1",,,,,,,,,,,,,,,,,,,,,,,
"O43464 (HTRA2)","1",0.400514,0.433697,0.26692,0.365679,0.358037,0.741499,0.398793,0.334342,0.41972,0.447979,0.705568,0.466664,0.510709,0.408641,0.497238,0.529883,0.172361,0.751334,0.700947,0.683408,0.896385,0.806479,0.72002
